,city,Cloudness,Country,Date,Lat,Lng,Max Temp,Wind Speed,Humidity
359,Napasar,93,IN,1566954028,27.97,73.56,89.15,4.45,56
360,Port Lincoln,100,AU,1566953754,-34.72,135.86,55.67,19.37,73
361,Frontera,40,MX,1566954028,18.53,-92.64,93.2,12.06,44
362,Augusto Correa,64,BR,1566954028,-1.02,-46.63,72.77,2.59,97
363,Beroroha,75,MG,1566954028,-21.68,45.17,59.09,3.13,58
364,Yaring,20,TH,1566954028,6.87,101.37,77.0,9.57,88
365,Vanimo,88,PG,1566954029,-2.67,141.3,81.59,4.9,72
366,Sirjan,0,IR,1566953971,29.44,55.67,63.59,9.73,15
367,Comodoro Rivadavia,0,AR,1566953908,-45.87,-67.48,59.0,35.57,44
368,Latung,72,ID,1566954029,-8.45,120.42,76.55,2.89,60
